Year,Total_AI_Patents,Machine_Learning,Computer_Vision,Autonomous_Systems,Natural_Language,Decision_Support,Citations_Per_Patent,Source,Military_Relevant
2015,5250,1680,1365,785,945,475,2.8,CNIPA/WIPO,1050
2016,8450,2715,2245,1285,1525,680,3.1,CNIPA/WIPO,1690
2017,23650,7595,6235,3575,4235,2010,3.4,CNIPA/WIPO,4730
2018,45280,14540,11935,6845,8115,3845,3.7,CNIPA/WIPO,9055
2019,59054,18965,15565,8925,10585,5014,3.9,CNIPA/WIPO,11810
2020,78650,25290,20755,11905,14125,6575,4.1,CNIPA/WIPO,15730
2021,125840,40445,33220,19050,22610,10515,4.3,CNIPA/WIPO,25170
2022,156750,50365,41365,23730,28145,13145,4.5,CNIPA/WIPO,31350
2023,175650,56460,46365,26595,31555,14675,4.7,CNIPA/WIPO,35130
2024,188757,60685,49865,28595,33910,15702,4.9,CNIPA/WIPO,37750
2025,195000,62700,51480,29525,35015,16280,5.1,CNIPA/WIPO,39000
